Market,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,TuneStart,TuneEnd,EvalStart,EvalEnd,Qualified,TuneBets,TuneTotalStaked,TuneTotalProfit,TuneROI,TuneHitRate,TuneAvgEdge,TuneAvgModelProb,TuneAvgOdd,EvalBets,EvalTotalStaked,EvalTotalProfit,EvalROI,EvalHitRate,EvalAvgEdge,EvalAvgModelProb,EvalAvgOdd
Over 2.5,0.075,0.5,2.2,True,2025-07-25,2026-01-31,2026-01-31,2026-05-14,True,44.0,440.0,53.000000000000014,0.12045454545454548,0.6363636363636364,0.0924035946967629,0.6357621987725449,1.7604545454545457,37.0,370.0,-46.5,-0.12567567567567567,0.5135135135135135,0.09189289802809203,0.6451587211042527,1.7251351351351352
Under 2.5,0.05,0.625,1.7,True,2025-07-25,2026-01-31,2026-01-31,2026-05-14,True,34.0,340.0,64.10000000000002,0.18852941176470595,0.7352941176470589,0.06257998610035921,0.644625456606785,1.6217647058823532,15.0,150.0,-4.5999999999999925,-0.030666666666666616,0.6,0.06020398264769713,0.6460553338380374,1.6160000000000003
Resultado 1X2,0.0,0.6,1.75,True,2025-07-25,2026-02-02,2026-02-03,2026-05-14,True,341.0,3410.0,203.7,0.059736070381231667,0.7331378299120235,0.027943445846301575,0.6745343674910439,1.456099706744868,355.0,3550.0,-14.299999999999933,-0.004028169014084489,0.6788732394366197,0.03374414861738339,0.6705365172752754,1.4769859154929574
Vitoria Casa/Fora,0.0,0.6,1.75,True,2025-07-25,2026-02-02,2026-02-03,2026-05-14,True,351.0,3510.0,234.4,0.06678062678062678,0.7378917378917379,0.027260699408798588,0.6739434096969226,1.4562962962962962,357.0,3570.0,-6.99999999999995,-0.0019607843137254763,0.680672268907563,0.033568195696148155,0.6707534567756399,1.4763585434173667
