Market,Folds,PositiveROIFolds,PositiveROIRate,MeanROI,MedianROI,StdROI,MinROI,MaxROI,AggregateROI,TotalBets,TotalStaked,TotalProfit,WeightedHitRate,MeanLogLoss,StdLogLoss,MeanBrierScore,MeanCalibrationECE,MeanAlphaModel,WorstFoldProfit,BestFoldProfit,StabilityScore,Status
Resultado 1X2,5,4,0.8,0.08117416456083495,0.06379310344827586,0.09524016895772489,-0.04117647058823528,0.2475,0.07216890595009597,521.0,5210.0,376.0,0.5700575815738963,0.9878789342810282,0.007110093534206418,0.5891945750407729,0.011731742081457809,0.45,-6.999999999999997,166.5,0.024548821471233523,Estavel
Vitoria Casa/Fora,5,3,0.6,-0.21186405553510818,0.02953947368421053,0.43677328665364,-1.0,0.20227272727272727,0.05584650112866817,443.0,4430.0,247.4,0.5778781038374717,0.9878789342810282,0.007110093534206418,0.5891945750407729,0.011731742081457809,0.45,-43.5,167.0,-0.16254014219815183,Estavel
Under 2.5,5,1,0.2,0.09234615384615383,0.0,0.3175320978044498,-0.23826923076923076,0.7,-0.22056603773584904,53.0,530.0,-116.89999999999999,0.4716981132075472,0.6733570569629138,0.0020241435687143815,0.24029901050749608,0.01281542418652797,0.37,-123.89999999999999,7.0,-0.37933208663807394,Instavel
Over 2.5,5,2,0.4,0.052241666666666686,0.0,0.3737454797199708,-0.4766666666666667,0.6950000000000001,0.037222222222222254,90.0,900.0,33.50000000000003,0.6444444444444445,0.6733570569629138,0.0020241435687143815,0.24029901050749608,0.012815424186527927,0.37,-28.6,34.300000000000026,-0.14965051763776316,Promissor
