FixtureId,MatchDatetime,MatchDatetimeBR,KickoffTimezone,Liga,HomeTeam,AwayTeam,Market,Selection,Bookmaker,Odd
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,Bet365,23.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Casa,Betfair Sportsbook,1.1
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Empate,Betfair Sportsbook,10.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,Betfair Sportsbook,23.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Casa,Betfair Exchange,1.11
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Empate,Betfair Exchange,13.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,Betfair Exchange,32.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Casa,BetMGM,1.07
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Empate,BetMGM,10.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,BetMGM,20.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Casa,BetVictor,1.06
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Empate,BetVictor,10.5
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,BetVictor,26.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Casa,Betway,1.11
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Empate,Betway,11.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,Betway,20.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Casa,Coral,1.11
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Empate,Coral,11.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,Coral,19.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Casa,Ladbrokes,1.1
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Empate,Ladbrokes,11.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Resultado 1X2,Fora,Ladbrokes,19.0
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Total de Gols,Over 2.5,Bet365,1.33
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Total de Gols,Under 2.5,Bet365,3.4
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Total de Gols,Over 2.5,Betfair Exchange,1.37
E0|2026-05-18 20:00|Arsenal|Burnley,2026-05-18 20:00:00,2026-05-18 16:00:00,Europe/London,E0,Arsenal,Burnley,Total de Gols,Under 2.5,Betfair Exchange,3.5
