Market,fold,train_start,train_end,test_start,test_end,train_rows,test_rows,alpha_model,alpha_market,blend_validation_rows,accuracy,precision_under,logloss,brier_score,calibration_ece,bets,total_staked,total_profit,roi,hit_rate,avg_edge,avg_model_prob,avg_odd
Under 2.5,1,2019-10-01,2023-01-09,2023-01-10,2023-10-03,17069,3895,0.25,0.75,3414,0.5915275994865212,0.5784671532846716,0.6700705364883096,0.23866558392002718,0.022707084828239982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Under 2.5,2,2019-10-01,2023-10-03,2023-10-04,2024-04-22,20964,3767,0.35,0.65,4193,0.5861428192195381,0.5703254274682846,0.6718913604362431,0.23952969709348523,0.01869485797844749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Under 2.5,3,2019-10-01,2024-04-22,2024-04-23,2025-01-19,24731,3545,0.5,0.5,4947,0.5935119887165021,0.5670731707317073,0.6679335219026301,0.23776039898522833,0.01570070970782447,24.0,240.0,-27.299999999999997,-0.11374999999999999,0.5416666666666666,0.05972398799156694,0.631788326174677,1.65625
Under 2.5,4,2019-10-01,2025-01-19,2025-01-20,2025-10-25,28276,3725,0.6000000000000001,0.3999999999999999,5656,0.5766442953020134,0.5666104553119731,0.6754341421875575,0.24132600316190733,0.006444640541067724,15.0,150.0,-15.399999999999999,-0.10266666666666666,0.5333333333333333,0.06411973478593892,0.6223290035576007,1.6960000000000002
Under 2.5,5,2019-10-01,2025-10-25,2025-10-26,2026-05-14,32001,3890,0.5,0.5,6401,0.5622107969151671,0.5364758698092031,0.6767401006987463,0.2420212894867006,0.018874016052376916,5.0,50.0,0.9000000000000004,0.018000000000000006,0.6,0.05333272491436216,0.6063986459367322,1.7120000000000002
