Market,StakeMode,StakeModeName,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,ValidationStart,ValidationEnd,ValidationSeasons,TestStart,TestEnd,TestSeasons,Qualified,ValBets,ValTotalStaked,ValTotalProfit,ValROI,ValHitRate,ValAvgEdge,ValAvgModelProb,ValAvgOdd,ValMaxDrawdown,ValMaxDrawdownPct,ValLongestRedStreak,ValFinalBankroll,TestBets,TestTotalStaked,TestTotalProfit,TestROI,TestHitRate,TestAvgEdge,TestAvgModelProb,TestAvgOdd,TestMaxDrawdown,TestMaxDrawdownPct,TestLongestRedStreak,TestFinalBankroll,MaxOddLabel,StrategyId
Over 2.5,fixed,Stake fixa,0.05,0.5,,False,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,366.0,3660.0,455.1,0.12434426229508197,0.6420765027322405,0.07096435951571994,0.6175766816318596,1.7612021857923499,81.5,0.07154961400866126,6.0,1455.1,280.0,2800.0,200.7,0.07167857142857142,0.6142857142857143,0.06920005326762957,0.6151415301765284,1.7539642857142856,61.0,0.05602498163115357,4.0,1200.7,sem limite,Over 2.5 | Stake fixa | edge 5.0% | prob 50.0% | odd sem limite
Over 2.5,kelly_fractional,Kelly fracionado,0.05,0.7,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,34.0,863.3971307782464,126.516001599708,0.14653280291268675,0.7647058823529411,0.07565520139030359,0.7240794964505703,1.4620588235294116,87.86860033412518,0.07669483081747794,3.0,1126.516001599708,18.0,390.0567526783425,-40.401698005078806,-0.10357902466156195,0.6111111111111112,0.07289179969736678,0.7116914852076788,1.4805555555555554,50.929708497532374,0.05145819915351418,2.0,959.5983019949211,1.60,Over 2.5 | Kelly fracionado | edge 5.0% | prob 70.0% | odd 1.60
Under 2.5,fixed,Stake fixa,0.05,0.625,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,80.0,800.0,40.500000000000036,0.050625000000000045,0.65,0.06227981476823735,0.6482705152460257,1.61325,63.19999999999993,0.06079261254328582,3.0,1040.5,49.0,490.0,59.50000000000003,0.12142857142857148,0.6938775510204082,0.06185263810464633,0.6450631741265561,1.62,30.0,0.027922561429635142,3.0,1059.5,1.70,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70
Under 2.5,kelly_fractional,Kelly fracionado,0.05,0.625,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,80.0,1515.3181550074496,119.80053292304494,0.07905965656595461,0.65,0.06227981476823735,0.6482705152460257,1.61325,110.41886164174116,0.09456513943801595,3.0,1119.800532923045,49.0,907.1112255364517,96.18083571618847,0.10602981531764046,0.6938775510204082,0.06185263810464633,0.6450631741265561,1.62,53.39961909946305,0.04739368924909729,3.0,1096.1808357161885,1.70,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70
Resultado 1X2,fixed,Stake fixa,0.1,0.4,2.5,True,2024-07-26,2025-12-07,"2025, 2425",2025-07-25,2026-05-14,"2026, 2526",True,35.0,350.0,179.10000000000002,0.5117142857142858,0.7714285714285715,0.11956372755814997,0.5960679123897712,2.0074285714285716,20.0,0.02009444388626545,2.0,1179.1,8.0,80.0,-0.7999999999999972,-0.009999999999999964,0.5,0.10878494384565332,0.5575657605492852,2.1062499999999997,10.0,0.010101010101010102,2.0,999.2,2.50,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50
Resultado 1X2,kelly_fractional,Kelly fracionado,0.1,0.4,2.5,True,2024-07-26,2025-12-07,"2025, 2425",2025-07-25,2026-05-14,"2026, 2526",True,35.0,1229.7523435830346,682.9646567694002,0.5553676399424446,0.7714285714285715,0.11956372755814997,0.5960679123897712,2.0074285714285716,58.187796239938166,0.059099999999999965,2.0,1682.9646567694003,8.0,231.5450302303222,-4.923749697205281,-0.02126476086447433,0.5,0.10878494384565332,0.5575657605492852,2.1062499999999997,29.749206508531756,0.030000000000000054,2.0,995.0762503027947,2.50,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50
Vitoria Casa/Fora,fixed,Stake fixa,0.1,0.45,2.5,True,2024-07-26,2025-12-07,"2025, 2425",2025-07-25,2026-05-14,"2026, 2526",True,35.0,350.0,179.10000000000002,0.5117142857142858,0.7714285714285715,0.11956372755814997,0.5960679123897712,2.0074285714285716,20.0,0.02009444388626545,2.0,1179.1,8.0,80.0,-0.7999999999999972,-0.009999999999999964,0.5,0.10878494384565332,0.5575657605492852,2.1062499999999997,10.0,0.010101010101010102,2.0,999.2,2.50,Vitoria Casa/Fora | Stake fixa | edge 10.0% | prob 45.0% | odd 2.50
Vitoria Casa/Fora,kelly_fractional,Kelly fracionado,0.1,0.45,2.5,True,2024-07-26,2025-12-07,"2025, 2425",2025-07-25,2026-05-14,"2026, 2526",True,35.0,1229.7523435830346,682.9646567694002,0.5553676399424446,0.7714285714285715,0.11956372755814997,0.5960679123897712,2.0074285714285716,58.187796239938166,0.059099999999999965,2.0,1682.9646567694003,8.0,231.5450302303222,-4.923749697205281,-0.02126476086447433,0.5,0.10878494384565332,0.5575657605492852,2.1062499999999997,29.749206508531756,0.030000000000000054,2.0,995.0762503027947,2.50,Vitoria Casa/Fora | Kelly fracionado | edge 10.0% | prob 45.0% | odd 2.50
