Market,fold,train_start,train_end,test_start,test_end,train_rows,test_rows,alpha_model,alpha_market,blend_validation_rows,accuracy,precision_h,precision_d,precision_a,logloss,brier_score,calibration_ece,bets,total_staked,total_profit,roi,hit_rate,avg_edge,avg_model_prob,avg_odd
Resultado 1X2,1,2012-07-21,2021-11-04,2021-11-05,2022-09-25,14100,5224,0.35,0.65,2820,0.5176110260336907,0.5268183094636338,0.3142857142857143,0.5018427518427518,0.9884744348736101,0.589189631360017,0.01254049415468176,17.0,170.0,9.2,0.05411764705882353,0.5294117647058824,0.05696239475920845,0.5210572207705481,2.045294117647059
Resultado 1X2,2,2012-07-21,2022-09-25,2022-09-26,2023-09-08,19324,5306,0.35,0.65,3865,0.5190350546551075,0.5366528354080221,0.3333333333333333,0.483503299340132,0.9875176715197662,0.5888651151521529,0.016763443677004174,13.0,130.0,65.19999999999999,0.5015384615384615,0.7692307692307693,0.058136029707871906,0.5458748715274998,1.953076923076923
Resultado 1X2,3,2012-07-21,2023-09-08,2023-09-09,2024-07-21,24630,5245,0.35,0.65,4926,0.5273593898951382,0.532617671345995,0.625,0.5144110275689223,0.978314652519237,0.5821621552626663,0.019377804393862077,17.0,170.0,-17.299999999999997,-0.10176470588235292,0.47058823529411764,0.05876994572736246,0.558065975634026,1.9158823529411766
Resultado 1X2,4,2012-07-21,2024-07-21,2024-07-22,2025-06-05,29875,5640,0.45,0.55,5975,0.5214539007092198,0.5274614021766642,0.23809523809523808,0.5107913669064749,0.984797238853132,0.5869268472319713,0.015097901955635722,83.0,830.0,56.50000000000002,0.06807228915662653,0.5783132530120482,0.06444043278451578,0.5672587893934942,1.8965060240963856
Resultado 1X2,5,2012-07-21,2025-06-05,2025-06-12,2026-05-14,35515,5567,0.5,0.5,7103,0.5099694629064128,0.5234741784037559,0.4418604651162791,0.48106508875739645,0.9923988471770672,0.5928302308580771,0.014159060741370855,110.0,1100.0,136.70000000000002,0.12427272727272728,0.6363636363636364,0.06175601634733501,0.5918551187833498,1.799636363636364
