Market,AlphaModel,AlphaMarket,ValidationLogLoss,ModelLogLoss,MarketLogLoss,ImprovementVsModel,ImprovementVsMarket,IsBest
Total Gols 2.5,0.8,0.19999999999999996,0.6724677470132608,0.6726335880336901,0.6747758809568091,0.0001658410204292693,0.0023081339435482295,True
Total Gols 2.5,0.75,0.25,0.6724736149306442,0.6726335880336901,0.6747758809568091,0.0001599731030459406,0.002302266026164901,False
Total Gols 2.5,0.8500000000000001,0.1499999999999999,0.6724806963837435,0.6726335880336901,0.6747758809568091,0.00015289164994658488,0.002295184573065545,False
Total Gols 2.5,0.7,0.30000000000000004,0.6724982023621241,0.6726335880336901,0.6747758809568091,0.0001353856715660129,0.002277678594684973,False
Total Gols 2.5,0.9,0.09999999999999998,0.6725125714317386,0.6726335880336901,0.6747758809568091,0.00012101660195151798,0.0022633095250704782,False
Total Gols 2.5,0.65,0.35,0.6725414217467551,0.6726335880336901,0.6747758809568091,9.216628693498041e-05,0.0022344592100539407,False
Total Gols 2.5,0.9500000000000001,0.04999999999999993,0.6725634916243668,0.6726335880336901,0.6747758809568091,7.009640932331695e-05,0.002212389332442277,False
Total Gols 2.5,0.6000000000000001,0.3999999999999999,0.6726031953858279,0.6726335880336901,0.6747758809568091,3.039264786219853e-05,0.0021726855709811588,False
Total Gols 2.5,1.0,0.0,0.6726335880336901,0.6726335880336901,0.6747758809568091,0.0,0.0021422929231189602,False
Total Gols 2.5,0.55,0.44999999999999996,0.6726834551397199,0.6726335880336901,0.6747758809568091,-4.98671060298328e-05,0.0020924258170891274,False
Total Gols 2.5,0.5,0.5,0.6727821421680154,0.6726335880336901,0.6747758809568091,-0.00014855413432524056,0.0019937387887937197,False
Total Gols 2.5,0.45,0.55,0.6728992067094686,0.6726335880336901,0.6747758809568091,-0.0002656186757784562,0.001876674247340504,False
Total Gols 2.5,0.4,0.6,0.6730346078990119,0.6726335880336901,0.6747758809568091,-0.00040101986532181666,0.0017412730577971436,False
Total Gols 2.5,0.35,0.65,0.6731883136195569,0.6726335880336901,0.6747758809568091,-0.0005547255858667777,0.0015875673372521826,False
Total Gols 2.5,0.3,0.7,0.6733603003868192,0.6726335880336901,0.6747758809568091,-0.0007267123531290443,0.001415580569989916,False
Total Gols 2.5,0.25,0.75,0.6735505532658389,0.6726335880336901,0.6747758809568091,-0.000916965232148792,0.0012253276909701682,False
Resultado 1X2 / Vitoria,0.75,0.25,0.9824617376768473,0.9828948466518349,0.9865985318239008,0.00043310897498760603,0.00413679414705348,True
Resultado 1X2 / Vitoria,0.8,0.19999999999999996,0.9824737510777976,0.9828948466518349,0.9865985318239008,0.00042109557403735565,0.004124780746103229,False
Resultado 1X2 / Vitoria,0.7,0.30000000000000004,0.9824863991916749,0.9828948466518349,0.9865985318239008,0.00040844746015999966,0.004112132632225873,False
Resultado 1X2 / Vitoria,0.8500000000000001,0.1499999999999999,0.9825227273359183,0.9828948466518349,0.9865985318239008,0.0003721193159166303,0.004075804487982504,False
Resultado 1X2 / Vitoria,0.65,0.35,0.9825474815699095,0.9828948466518349,0.9865985318239008,0.0003473650819254548,0.0040510502539913285,False
Resultado 1X2 / Vitoria,0.9,0.09999999999999998,0.9826089894297816,0.9828948466518349,0.9865985318239008,0.00028585722205332065,0.003989542394119194,False
Resultado 1X2 / Vitoria,0.6000000000000001,0.3999999999999999,0.9826447637049693,0.9828948466518349,0.9865985318239008,0.00025008294686557075,0.003953768118931444,False
Resultado 1X2 / Vitoria,0.9500000000000001,0.04999999999999993,0.9827328967406475,0.9828948466518349,0.9865985318239008,0.0001619499111874534,0.003865635083253327,False
Resultado 1X2 / Vitoria,0.55,0.44999999999999996,0.9827780566891337,0.9828948466518349,0.9865985318239008,0.00011678996270125808,0.0038204751347671317,False
Resultado 1X2 / Vitoria,1.0,0.0,0.9828948466518348,0.9828948466518349,0.9865985318239008,1.1102230246251565e-16,0.0037036851720659847,False
Resultado 1X2 / Vitoria,0.5,0.5,0.9829472032579948,0.9828948466518349,0.9865985318239008,-5.2356606159875696e-05,0.003651328565905998,False
Resultado 1X2 / Vitoria,0.45,0.55,0.9831520774250853,0.9828948466518349,0.9865985318239008,-0.0002572307732503498,0.003446454398815524,False
Resultado 1X2 / Vitoria,0.4,0.6,0.9833925843093964,0.9828948466518349,0.9865985318239008,-0.0004977376575614478,0.003205947514504426,False
Resultado 1X2 / Vitoria,0.35,0.65,0.9836686601628023,0.9828948466518349,0.9865985318239008,-0.0007738135109673916,0.002929871661098482,False
Resultado 1X2 / Vitoria,0.3,0.7,0.9839802726093386,0.9828948466518349,0.9865985318239008,-0.0010854259575037162,0.0026182592145621575,False
Resultado 1X2 / Vitoria,0.25,0.75,0.9843274211140964,0.9828948466518349,0.9865985318239008,-0.0014325744622615266,0.002271110709804347,False
