Market,StakeMode,StakeModeName,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,ValidationStart,ValidationEnd,ValidationSeasons,TestStart,TestEnd,TestSeasons,Qualified,ValBets,ValTotalStaked,ValTotalProfit,ValROI,ValHitRate,ValAvgEdge,ValAvgModelProb,ValAvgOdd,ValMaxDrawdown,ValMaxDrawdownPct,ValLongestRedStreak,ValFinalBankroll,TestBets,TestTotalStaked,TestTotalProfit,TestROI,TestHitRate,TestAvgEdge,TestAvgModelProb,TestAvgOdd,TestMaxDrawdown,TestMaxDrawdownPct,TestLongestRedStreak,TestFinalBankroll
Over 2.5,fixed,Stake fixa,0.0,0.5,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,626.0,6260.0,87.40000000000009,0.01396166134185305,0.6853035143769968,0.04670204240243294,0.684261960380964,1.4868370607028754,223.89999999999998,0.22407926341072856,6.0,1087.4,507.0,5070.0,108.60000000000011,0.021420118343195287,0.6844181459566075,0.04552860637958828,0.6788704770921455,1.4964102564102566,108.89999999999998,0.10715339958673618,5.0,1108.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.5,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1069.0,10690.0,-167.99999999999983,-0.015715622076707188,0.637043966323667,0.04998100373770417,0.659296954154166,1.5578297474275025,222.80000000000007,0.22186815375423227,8.0,832.0000000000002,991.0,9910.0,-18.79999999999984,-0.0018970736629666841,0.6367305751765893,0.04890773613942368,0.6504619710434009,1.5771039354187688,343.00000000000114,0.33404752629528744,10.0,981.2000000000002
Over 2.5,fixed,Stake fixa,0.0,0.5,1.8,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1425.0,14250.0,-127.29999999999981,-0.008933333333333321,0.6224561403508772,0.05143699260401887,0.6437024088267591,1.6058877192982455,274.70000000000005,0.2423680959943533,7.0,872.7000000000002,1463.0,14630.0,56.2000000000001,0.0038414217361585853,0.6179084073820916,0.049263828361467935,0.6306061956380371,1.635434039644566,430.9000000000003,0.41669084227831,7.0,1056.2
Over 2.5,fixed,Stake fixa,0.0,0.5,1.9,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1702.0,17020.0,-193.69999999999993,-0.011380728554641594,0.6063454759106933,0.05060801889426207,0.6307456269465203,1.6479612220916569,341.80000000000007,0.29985086411088696,7.0,806.3000000000001,1717.0,17170.0,163.4000000000002,0.009516598718695412,0.6092020966802563,0.0478431455970233,0.6192250692958656,1.669039021549214,445.39999999999986,0.43071269703123477,7.0,1163.4
Over 2.5,fixed,Stake fixa,0.0,0.5,2.0,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1967.0,19670.0,-80.79999999999983,-0.004107778342653779,0.5963396034570412,0.04983376692379957,0.6181435130665164,1.6901423487544485,365.79999999999995,0.36949494949494943,7.0,919.2000000000002,1996.0,19960.0,231.70000000000016,0.011608216432865739,0.5971943887775552,0.0478664163527537,0.6077191589417397,1.7092785571142286,408.5,0.395794981106482,8.0,1231.7000000000003
Over 2.5,fixed,Stake fixa,0.0,0.5,2.2,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,2188.0,21880.0,-115.89999999999995,-0.005297074954296158,0.5840950639853748,0.052116685537023574,0.6095677512403893,1.7287842778793419,389.3000000000002,0.38755599800895985,8.0,884.1,2165.0,21650.0,452.3,0.020891454965357967,0.5930715935334873,0.049779924961250284,0.6014672582779251,1.7386004618937645,411.79999999999995,0.36909563502733705,8.0,1452.3
Over 2.5,fixed,Stake fixa,0.0,0.5,,False,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,2220.0,22200.0,-1.0999999999999943,-4.9549549549549296e-05,0.5837837837837838,0.05330173115739174,0.6083604298139914,1.7385855855855856,409.3000000000002,0.40746640119462435,8.0,998.9,2177.0,21770.0,498.79999999999984,0.022912264584290302,0.5930179145613229,0.05023120856495214,0.6010618674128853,1.742154340836013,424.20000000000005,0.37939361416689027,8.0,1498.7999999999997
Over 2.5,fixed,Stake fixa,0.0,0.525,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,626.0,6260.0,87.40000000000009,0.01396166134185305,0.6853035143769968,0.04670204240243294,0.684261960380964,1.4868370607028754,223.89999999999998,0.22407926341072856,6.0,1087.4,507.0,5070.0,108.60000000000011,0.021420118343195287,0.6844181459566075,0.04552860637958828,0.6788704770921455,1.4964102564102566,108.89999999999998,0.10715339958673618,5.0,1108.6000000000001
Over 2.5,fixed,Stake fixa,0.0,0.525,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1069.0,10690.0,-167.99999999999983,-0.015715622076707188,0.637043966323667,0.04998100373770417,0.659296954154166,1.5578297474275025,222.80000000000007,0.22186815375423227,8.0,832.0000000000002,991.0,9910.0,-18.79999999999984,-0.0018970736629666841,0.6367305751765893,0.04890773613942368,0.6504619710434009,1.5771039354187688,343.00000000000114,0.33404752629528744,10.0,981.2000000000002
Over 2.5,fixed,Stake fixa,0.0,0.525,1.8,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,1425.0,14250.0,-127.29999999999981,-0.008933333333333321,0.6224561403508772,0.05143699260401887,0.6437024088267591,1.6058877192982455,274.70000000000005,0.2423680959943533,7.0,872.7000000000002,1463.0,14630.0,56.2000000000001,0.0038414217361585853,0.6179084073820916,0.049263828361467935,0.6306061956380371,1.635434039644566,430.9000000000003,0.41669084227831,7.0,1056.2
