Market,Feature,Importance,ImportanceShare,Rank
Total Gols 2.5,Importance_Diff,0.004402235,0.004402235,80
Total Gols 2.5,Kickoff_Hour,0.004393102,0.004393102,81
Total Gols 2.5,Away_MaxAvgGap,0.004380953,0.004380953,82
Total Gols 2.5,AH_NoVigHomeCover,0.00435811,0.00435811,83
Total Gols 2.5,ShotsOnTargetAllowed_Diff_Roll5,0.0043492587,0.0043492587,84
Total Gols 2.5,Home_DefensiveDelta_Roll5,0.0043428517,0.0043428517,85
Total Gols 2.5,Venue_ShotPressure_Diff_Roll5,0.0043374915,0.0043374915,86
Total Gols 2.5,Away_YellowCardsFor_Roll5,0.004328026,0.004328026,87
Total Gols 2.5,Venue_RestDays_Diff,0.0043154545,0.0043154545,88
Total Gols 2.5,Away_PreMatch_PointsPerGame,0.004311564,0.004311564,89
Total Gols 2.5,Home_SOTAllowedRate_Roll5,0.004298309,0.004298309,90
Total Gols 2.5,Away_Away_GA_Roll5,0.004294261,0.004294261,91
Total Gols 2.5,xG_Finishing_Diff_Roll5,0.0042850906,0.0042850906,92
Total Gols 2.5,Home_Home_SecondHalfTotalGoals_Roll5,0.0042658895,0.0042658895,93
Total Gols 2.5,Away_Points_Roll5,0.0042450307,0.0042450307,94
Total Gols 2.5,Over25_MaxAvgGap,0.0042448286,0.0042448286,95
Total Gols 2.5,Defense_Diff_Roll5,0.0042397114,0.0042397114,96
Total Gols 2.5,League_AwayGoals_Pregame,0.004236888,0.004236888,97
Total Gols 2.5,ShotsOnTarget_Total_Roll5,0.004201525,0.004201525,98
Total Gols 2.5,Away_BestVsSelectedGap,0.004188841,0.004188841,99
Total Gols 2.5,Away_Away_WinRate_Roll5,0.004175288,0.004175288,100
Total Gols 2.5,Home_WinRate_Roll5,0.0041656415,0.0041656415,101
Total Gols 2.5,Home_xGFor_Roll5,0.0041617462,0.0041617462,102
Total Gols 2.5,ConversionRate_Diff_Roll5,0.0041432446,0.0041432446,103
Total Gols 2.5,Home_PreMatch_PointsPerGame,0.004133399,0.004133399,104
Total Gols 2.5,AH_FavoriteCoverProb,0.0041220486,0.0041220486,105
Total Gols 2.5,Odds_Quality_Total,0.004117202,0.004117202,106
Total Gols 2.5,Home_ShotsOnTargetAgainst_Roll5,0.004105221,0.004105221,107
Total Gols 2.5,xG_Total_Roll5,0.00410411,0.00410411,108
Total Gols 2.5,Away_YellowCardsAgainst_Roll5,0.00409947,0.00409947,109
Total Gols 2.5,Home_TG_Roll5,0.00408235,0.00408235,110
Total Gols 2.5,Venue_GoalDiff_Diff_Roll5,0.004071064,0.004071064,111
Total Gols 2.5,Away_xGAgainst_Roll5,0.0040621506,0.0040621506,112
Total Gols 2.5,LossRate_Diff_Roll5,0.0040575345,0.0040575345,113
Total Gols 2.5,Referee_Fouls_Roll20,0.0040493137,0.0040493137,114
Total Gols 2.5,League_OddOver25_Pregame,0.004043205,0.004043205,115
Total Gols 2.5,Venue_xG_Diff_Roll5,0.0040308833,0.0040308833,116
Total Gols 2.5,Away_Away_xGAgainst_Roll5,0.0040284707,0.0040284707,117
Total Gols 2.5,AH_AbsLine,0.004022733,0.004022733,118
Total Gols 2.5,Away_Away_Points_Roll5,0.0040134136,0.0040134136,119
Total Gols 2.5,Away_Away_xGDiff_Roll5,0.003997462,0.003997462,120
Total Gols 2.5,xG_Diff_Roll5,0.0039859866,0.0039859866,121
Total Gols 2.5,Away_SOTAllowedRate_Roll5,0.003951204,0.003951204,122
Total Gols 2.5,Home_Home_xGDiff_Roll5,0.00394865,0.00394865,123
Total Gols 2.5,Overround_OverUnder25,0.0039308793,0.0039308793,124
Total Gols 2.5,Discipline_Diff_Roll5,0.0039128303,0.0039128303,125
Total Gols 2.5,Home_SecondHalfGoalsFor_Roll5,0.0039108493,0.0039108493,126
Total Gols 2.5,Home_GoalsAllowedPerShot_Roll5,0.0039059024,0.0039059024,127
Total Gols 2.5,Home_Home_CornersAgainst_Roll5,0.003903557,0.003903557,128
Total Gols 2.5,ShotsAllowed_Diff_Roll5,0.0038950646,0.0038950646,129
