Market,fold,train_start,train_end,test_start,test_end,train_rows,test_rows,alpha_model,alpha_market,blend_validation_rows,accuracy,precision_h,precision_a,logloss,brier_score,calibration_ece,bets,total_staked,total_profit,roi,hit_rate,avg_edge,avg_model_prob,avg_odd
Vitoria Casa/Fora,1,2012-07-21,2021-11-04,2021-11-05,2022-09-25,14100,5224,0.35,0.65,2820,0.5176110260336907,0.5268183094636338,0.5018427518427518,0.9884744348736101,0.589189631360017,0.01254049415468176,9.0,90.0,24.200000000000003,0.2688888888888889,0.6666666666666666,0.0580152323269658,0.5499300596771256,1.913333333333333
Vitoria Casa/Fora,2,2012-07-21,2022-09-25,2022-09-26,2023-09-08,19324,5306,0.35,0.65,3865,0.5190350546551075,0.5366528354080221,0.483503299340132,0.9875176715197662,0.5888651151521529,0.016763443677004174,9.0,90.0,40.199999999999996,0.4466666666666666,0.7777777777777778,0.06017651465133104,0.5709754923012369,1.8599999999999999
Vitoria Casa/Fora,3,2012-07-21,2023-09-08,2023-09-09,2024-07-21,24630,5245,0.35,0.65,4926,0.5273593898951382,0.532617671345995,0.5144110275689223,0.978314652519237,0.5821621552626663,0.019377804393862077,15.0,150.0,2.6999999999999966,0.017999999999999978,0.5333333333333333,0.05859146497069998,0.567184291446271,1.8746666666666665
Vitoria Casa/Fora,4,2012-07-21,2024-07-21,2024-07-22,2025-06-05,29875,5640,0.45,0.55,5975,0.5214539007092198,0.5274614021766642,0.5107913669064749,0.984797238853132,0.5869268472319713,0.015097901955635722,68.0,680.0,51.500000000000014,0.07573529411764708,0.6029411764705882,0.06451286356189086,0.5839802855146909,1.8288235294117645
Vitoria Casa/Fora,5,2012-07-21,2025-06-05,2025-06-12,2026-05-14,35515,5567,0.5,0.5,7103,0.5099694629064128,0.5234741784037559,0.48106508875739645,0.9923988471770672,0.5928302308580771,0.014159060741370855,93.0,930.0,130.20000000000002,0.14,0.6666666666666666,0.061345755617232156,0.6102328079754209,1.7248387096774196
