Market,Outcome,CalibrationMethod,Rows,MeanPredictedProb,ObservedRate,BrierScore,ECE,MaxAbsGap,CalibrationBias
Over 2.5,Over 2.5,sigmoid,5209,0.5098303783917623,0.5240929161067384,0.24252206467381912,0.015672921831882628,0.06214354370958375,0.014262537714976098
Resultado 1X2,Casa,sigmoid,5346,0.43163105840382154,0.43153759820426485,0.21321886305671786,0.0191017568026565,0.05061616281725238,-9.346019955669416e-05
Resultado 1X2,Empate,sigmoid,5346,0.26414063666315046,0.2674897119341564,0.19404126036587868,0.013553514086205892,0.057097011637202696,0.003349075271005919
Resultado 1X2,Fora,sigmoid,5346,0.304228304933028,0.30097268986157877,0.18638872678358018,0.017099958421028606,0.07743367635374448,-0.003255615071449225
Under 2.5,Under 2.5,sigmoid,5209,0.4901696216082378,0.47590708389326164,0.24252206467381918,0.015672921831882704,0.06214354370958375,-0.014262537714976153
Vitoria Casa/Fora,Casa,sigmoid,5346,0.43163105840382154,0.43153759820426485,0.21321886305671786,0.0191017568026565,0.05061616281725238,-9.346019955669416e-05
Vitoria Casa/Fora,Fora,sigmoid,5346,0.304228304933028,0.30097268986157877,0.18638872678358018,0.017099958421028606,0.07743367635374448,-0.003255615071449225
