Market,StakeMode,StakeModeName,StrategyId,Month,Bets,TotalStaked,TotalProfit,HitRate,AvgOdd,AvgEdge,AvgModelProb,MaxDrawdown,LongestRedStreak,ROI
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2025-10,3,30.0,1.9000000000000021,0.6666666666666666,1.6133333333333333,0.05865823771874364,0.6427628097801263,10.0,1,0.06333333333333341
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2025-11,7,70.0,27.600000000000005,0.8571428571428571,1.622857142857143,0.06429418810903202,0.6459210080704759,10.0,1,0.39428571428571435
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2025-12,5,50.0,-1.3999999999999986,0.6,1.6300000000000001,0.07161478821267993,0.6513992914047599,20.0,2,-0.027999999999999973
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2026-01,5,50.0,-0.2999999999999998,0.6,1.6480000000000001,0.06491197082993519,0.6387147480686278,20.0,2,-0.005999999999999997
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2026-02,8,80.0,0.3000000000000025,0.625,1.61125,0.05835682583340479,0.6470062980593437,20.299999999999955,2,0.003750000000000031
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2026-03,2,20.0,-20.0,0.0,1.61,0.05951183438676838,0.6477509761973387,30.0,2,-1.0
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2026-04,2,20.0,12.9,1.0,1.645,0.0612260630255666,0.6360070225297871,23.299999999999955,0,0.645
Under 2.5,fixed,Stake fixa,Under 2.5 | Stake fixa | edge 5.0% | prob 62.5% | odd 1.70,2026-05,3,30.0,2.200000000000002,0.6666666666666666,1.6133333333333333,0.06490977940784955,0.6490878752138524,21.100000000000136,1,0.0733333333333334
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2025-08,9,137.66553919701923,36.27869072099132,0.7777777777777778,1.6122222222222222,0.05833897509136156,0.644101153280328,13.016450973076644,2,0.26352775671093176
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2025-09,5,74.07720163432529,23.438878930190125,0.8,1.608,0.05880018529148574,0.6440098923814181,13.396752381273586,1,0.3164115060109021
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2025-10,3,47.184300872321614,1.6052713228541826,0.6666666666666666,1.6133333333333333,0.05865823771874364,0.6427628097801263,16.50160745305152,1,0.034021301432397344
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2025-11,7,129.77257378776457,48.707681405655244,0.8571428571428571,1.622857142857143,0.06429418810903202,0.6459210080704759,20.860507450136765,1,0.37533108871920656
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2025-12,5,119.69731677090773,-10.029006225229967,0.6,1.6300000000000001,0.07161478821267993,0.6513992914047599,52.23563952061522,2,-0.08378639133928775
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2026-01,5,109.0521163107947,2.640838427169797,0.6,1.6480000000000001,0.06491197082993519,0.6387147480686278,42.04924491503198,2,0.02421629690930069
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2026-02,8,149.07531750536555,9.402475424853334,0.625,1.61125,0.05835682583340479,0.6470062980593437,36.10775660339891,2,0.06307197987027542
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2026-03,2,38.720196457053405,-38.720196457053405,0.0,1.61,0.05951183438676838,0.6477509761973387,53.39961909946305,2,-1.0
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2026-04,2,38.443700339598905,24.865365334100222,1.0,1.645,0.0612260630255666,0.6360070225297871,39.59398604390776,0,0.646799478573806
Under 2.5,kelly_fractional,Kelly fracionado,Under 2.5 | Kelly fracionado | edge 5.0% | prob 62.5% | odd 1.70,2026-05,3,63.42296266130066,-2.009163167342386,0.6666666666666666,1.6133333333333333,0.06490977940784955,0.6490878752138524,41.15115420253983,1,-0.031678797127027536
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,2025-08,1,10.0,-10.0,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,2025-10,1,10.0,-10.0,0.0,2.3,0.10010892355822032,0.5126825974285543,10.0,1,-1.0
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,2025-11,3,30.0,11.999999999999998,0.6666666666666666,2.233333333333333,0.11227002488580762,0.5324235639102212,10.0,1,0.39999999999999997
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,2026-03,1,10.0,5.700000000000001,1.0,1.57,0.11557733689225158,0.6998684959088073,0.0,0,0.5700000000000001
Resultado 1X2,fixed,Stake fixa,Resultado 1X2 | Stake fixa | edge 10.0% | prob 40.0% | odd 2.50,2026-04,2,20.0,1.5,0.5,2.275,0.10452770923915408,0.511083344002035,10.0,1,0.075
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,2025-08,1,29.921256023076474,-29.921256023076474,0.0,1.73,0.10872779717902359,0.6285376113221869,0.0,1,-1.0
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,2025-10,1,29.102362319307705,-29.102362319307705,0.0,2.3,0.10010892355822032,0.5126825974285543,29.10236231930776,1,-1.0
Resultado 1X2,kelly_fractional,Kelly fracionado,Resultado 1X2 | Kelly fracionado | edge 10.0% | prob 40.0% | odd 2.50,2025-11,3,84.66642727482989,33.99187805240217,0.6666666666666666,2.233333333333333,0.11227002488580762,0.5324235639102212,28.163527520316052,1,0.4014800098043994
