Market,ModelVariant,UsesOdds,FeatureCount,TrainRows,TestRows,TrainStart,TrainEnd,TestStart,TestEnd,Accuracy,PrecisionOver,PrecisionHome,PrecisionDraw,PrecisionAway,LogLoss,BrierScore,CalibrationECE,Bets,TotalStaked,TotalProfit,ROI,HitRate,AvgEdge,AvgModelProb,AvgOdd
Over 2.5,Sem odds,False,298,89942,22486,2005-09-27,2022-04-11,2022-04-11,2026-05-14,0.571866939428978,0.598581839669096,,,,0.6775143670179578,0.24232512160193623,0.020996931699167456,942.0,9420.0,752.0000000000001,0.07983014861995755,0.6751592356687898,0.08121081601863701,0.6725098426448248,1.608290870488323
Under 2.5,Sem odds,False,298,89942,22486,2005-09-27,2022-04-11,2022-04-11,2026-05-14,0.571866939428978,0.598581839669096,,,,0.6775143670179578,0.24232512160193623,0.020996931699167456,1210.0,12100.0,-748.7999999999998,-0.061884297520661144,0.5619834710743802,0.071910226150001,0.6367938441059522,1.674595041322314
Over 2.5,Com odds,True,305,89942,22486,2005-09-27,2022-04-11,2022-04-11,2026-05-14,0.5805390020457173,0.5971350252011672,,,,0.6731691982810316,0.24020315489778546,0.013959051599689605,651.0,6510.0,337.40000000000015,0.05182795698924733,0.6651305683563749,0.0690354901088298,0.6663790909927537,1.5858986175115208
Under 2.5,Com odds,True,305,89942,22486,2005-09-27,2022-04-11,2022-04-11,2026-05-14,0.5805390020457173,0.5971350252011672,,,,0.6731691982810316,0.24020315489778546,0.013959051599689605,712.0,7120.0,-103.29999999999998,-0.014508426966292133,0.6025280898876404,0.06406436733623809,0.6417394193865966,1.637865168539326
Resultado 1X2,Sem odds,False,298,94152,23538,2005-09-27,2022-05-08,2022-05-08,2026-05-14,0.511598266632679,,0.5289480322906155,0.3037475345167653,0.4879442508710801,0.996853451168609,0.5950995764000693,0.014994877287764765,2018.0,20180.0,32.600000000000065,0.001615460852329042,0.5327056491575818,0.08847272454649595,0.5867813297167198,1.9356541129831517
Vitoria Casa/Fora,Sem odds,False,298,94152,23538,2005-09-27,2022-05-08,2022-05-08,2026-05-14,0.511598266632679,,0.5289480322906155,0.3037475345167653,0.4879442508710801,0.996853451168609,0.5950995764000693,0.014994877287764765,1758.0,17580.0,139.70000000000005,0.007946530147895339,0.5489192263936291,0.09045813644966806,0.6010365979816605,1.8861149032992037
Resultado 1X2,Com odds,True,308,94152,23538,2005-09-27,2022-05-08,2022-05-08,2026-05-14,0.5186506924972385,,0.5378145865434001,0.3303471444568869,0.5002121940868581,0.986651895392792,0.5879884344879226,0.013311114032489394,1653.0,16530.0,1432.7,0.08667271627344222,0.5910465819721719,0.07562945359370088,0.5870036070231239,1.871016333938294
Vitoria Casa/Fora,Com odds,True,308,94152,23538,2005-09-27,2022-05-08,2022-05-08,2026-05-14,0.5186506924972385,,0.5378145865434001,0.3303471444568869,0.5002121940868581,0.986651895392792,0.5879884344879226,0.013311114032489394,1483.0,14830.0,902.0,0.06082265677680378,0.5920431557653405,0.07611949889622473,0.5981259394642058,1.8277410654079569
